SampleID	life_stage	site
tad01	tadpole	NationalPark
tad02	tadpole	NationalPark
tad03	tadpole	NationalPark
tad04	tadpole	Lagunillas
tad05	tadpole	Lagunillas
tad06	tadpole	Lagunillas
juv01	juvenile	NationalPark
juv02	juvenile	NationalPark
juv03	juvenile	NationalPark
juv04	juvenile	Lagunillas
juv05	juvenile	Lagunillas
juv06	juvenile	Lagunillas
adu01	adult	NationalPark
adu02	adult	NationalPark
adu03	adult	NationalPark
adu04	adult	Lagunillas
adu05	adult	Lagunillas
adu06	adult	Lagunillas
